//DATASET,
//created,Wed, 25 Apr 2018 21:19:06 GMT

//TRACE,Waveform,Input 1 
//SampledBand
#Time,"Electrical Signal"
#(ns),(a.u.)
0,0.0263377629701551
0.0025,0.0252834969766023
0.005,0.0237309449809564
0.0075,0.0217996715338266
0.01,0.0196454520359289
0.0125,0.0174324643051217
0.015,0.0152765435555144
0.0175,0.0132195740116588
0.02,0.0112662141520575
0.0225,0.00941954873472762
0.025,0.00770776589005541
0.0275,0.00619196101150488
0.03,0.00496971537450563
0.0325,0.00417662455792282
0.035,0.00395194580920152
0.0375,0.00442875224963348
0.04,0.00577197390317512
0.0425,0.00817309363140044
0.045,0.0117545127919464
0.0475,0.0166406862885417
0.05,0.0230610653127603
0.0525,0.0311865286609556
0.055,0.0407669041660221
0.0575,0.051057625825438
0.06,0.0611109989111022
0.0625,0.0701161661467194
0.065,0.0776188199956329
0.0675,0.083574408101879
0.07,0.0882322465920844
0.0725,0.091912145903838
0.075,0.0946089532201205
0.0775,0.095897862135472
0.08,0.0952699372064939
0.0825,0.0924247241432764
0.085,0.0873518990103824
0.0875,0.0803528177946583
0.09,0.0719774377798901
0.0925,0.0629268697750932
0.095,0.0539414877836329
0.0975,0.0457138272301544
0.1,0.0387996974919017
0.1025,0.0335103096417738
0.105,0.029865061901874
0.1075,0.0276099569994864
0.11,0.026333590382954
0.1125,0.0256158295383132
0.115,0.0251648332846812
0.1175,0.0248978856199469
0.12,0.0249513385384851
0.1225,0.0256665009239885
0.125,0.0274672476881576
0.1275,0.0307103501657031
0.13,0.0356645290385357
0.1325,0.0424696150505971
0.135,0.0510099998427019
0.1375,0.0607479503637882
0.14,0.0707561662384299
0.1425,0.0798542727519994
0.145,0.0869214606995586
0.1475,0.0912760853954858
0.15,0.0929574071997513
0.1525,0.0926929955588024
0.155,0.0914478307945997
0.1575,0.0899131992135839
0.16,0.0884361465691263
0.1625,0.0871721997748743
0.165,0.0861935845055663
0.1675,0.0854707452408454
0.17,0.0849466833999977
0.1725,0.084661755526551
0.175,0.0845658523281981
0.1775,0.0844202168503888
0.18,0.0840047888733895
0.1825,0.0833585312290597
0.185,0.0829042019825967
0.1875,0.0832251694365947
0.19,0.0846220567396434
0.1925,0.0868738047186724
0.195,0.0893022627476654
0.1975,0.0909228326220738
0.2,0.0907440363302956
0.2025,0.0881253011113486
0.205,0.0829360949373121
0.2075,0.0754764717306592
0.21,0.0663613497826109
0.2125,0.0563727434678916
0.215,0.0462744756148246
0.2175,0.0366962302228317
0.22,0.0280952021726135
0.2225,0.0207605959998425
0.225,0.0148279059756524
0.2275,0.0102890669004576
0.23,0.00702386058199339
0.2325,0.00485658402303909
0.235,0.00359553335935948
0.2375,0.00307123863833745
0.24,0.00318599699222498
0.2425,0.00394010532973597
0.245,0.00541976476092005
0.2475,0.00776946191101906
0.25,0.0111554494093064
0.2525,0.0158005677094644
0.255,0.0218734759755964
0.2575,0.0292810881945101
0.26,0.0376293084855665
0.2625,0.0461697485734163
0.265,0.0539219537784357
0.2675,0.0599787760230151
0.27,0.0638529909766423
0.2725,0.0656510070045607
0.275,0.0659229423014329
0.2775,0.0653532474905389
0.28,0.0644756448212095
0.2825,0.0635498169616536
0.285,0.0626960164080518
0.2875,0.0620392651761861
0.29,0.0616833217914601
0.2925,0.061609831370711
0.295,0.0616304769648332
0.2975,0.0615047941498105
0.3,0.0611802984118705
0.3025,0.060955920700869
0.305,0.061312874871508
0.3075,0.062608231012598
0.31,0.0648655846144752
0.3125,0.0676842876559349
0.315,0.0703247466095798
0.3175,0.0719741104279568
0.32,0.0720052109006064
0.3225,0.0700120177873436
0.325,0.0659281598857514
0.3275,0.0600682460553264
0.33,0.0530360275198695
0.3325,0.0455970478046544
0.335,0.0385509310240989
0.3375,0.0325803711403699
0.34,0.0281158058787365
0.3425,0.0252727273647299
0.345,0.0238882755057709
0.3475,0.0235436840971904
0.35,0.023691004034721
0.3525,0.0238386507483544
0.355,0.0237202274475621
0.3575,0.0233382039706321
0.36,0.0229404621135237
0.3625,0.0229387285446752
0.365,0.0237818582191492
0.3675,0.0259128895944639
0.37,0.0297396119047808
0.3725,0.0353882782901411
0.375,0.0424959653108892
0.3775,0.0502612426876404
0.38,0.0577127502505079
0.3825,0.0640343676441202
0.385,0.0687588433496852
0.3875,0.0718886850283433
0.39,0.0738259060728019
0.3925,0.0750623648111098
0.395,0.0756850861811804
0.3975,0.0753279270019746
0.4,0.0735058052866271
0.4025,0.0699883931716426
0.405,0.0648589354420113
0.4075,0.0584501270173548
0.41,0.0512906788487456
0.4125,0.0440233626238102
0.415,0.0372810051328712
0.4175,0.0316061113072279
0.42,0.0273983194556038
0.4225,0.0247842388966622
0.425,0.0235525939117456
0.4275,0.0232876305363524
0.43,0.0235142665228402
0.4325,0.0238604318491122
0.435,0.0241317347588776
0.4375,0.0243586437931474
0.44,0.0247983398837697
0.4425,0.0258487952652326
0.445,0.0279580688653587
0.4475,0.0315504166514779
0.45,0.036975201528232
0.4525,0.0443285383475295
0.455,0.0531869739135352
0.4575,0.0626855598082542
0.46,0.0719305989770452
0.4625,0.0802381260378886
0.465,0.0870954753864909
0.4675,0.0922919220538297
0.47,0.0959234054862578
0.4725,0.0981294266957234
0.475,0.0988431254296282
0.4775,0.0976630390389859
0.48,0.0941653835359104
0.4825,0.0882469869184612
0.485,0.080176328917078
0.4875,0.0704894148051118
0.49,0.059913599189833
0.4925,0.0492398040519531
0.495,0.0391585912866537
0.4975,0.0301535578820062
0.5,0.022497056699278
0.5025,0.0162824461161502
0.505,0.0114679577242947
0.5075,0.00792557658624546
0.51,0.00549534775382214
0.5125,0.00403071036729907
0.515,0.00341817060467477
0.5175,0.00356632742439535
0.52,0.00445864059886517
0.5225,0.00618968972868825
0.525,0.00887266693321824
0.5275,0.0127075702989465
0.53,0.018028104314497
0.5325,0.025117534576033
0.535,0.0339822867703872
0.5375,0.0441843083548837
0.54,0.0550628469871595
0.5425,0.0659650856199346
0.545,0.0761680615413912
0.5475,0.0848919946041577
0.55,0.0914874974134193
0.5525,0.0956458022516068
0.555,0.0973010742671644
0.5575,0.0963674838192257
0.56,0.0928162911116662
0.5625,0.0868046567929574
0.565,0.0787713282969589
0.5675,0.069352188826552
0.57,0.059221532149368
0.5725,0.0490241174425654
0.575,0.0393284426340505
0.5775,0.0305587542656473
0.58,0.022990500603605
0.5825,0.0167577635516089
0.585,0.0118692954477984
0.5875,0.00823441415227328
0.59,0.00569930311974606
0.5925,0.00408013804293306
0.595,0.00321253105763409
0.5975,0.00301793309578981
0.6,0.00351027644905567
0.6025,0.00476459525425836
0.605,0.00691873372615007
0.6075,0.0101174138584194
0.61,0.0144926607250132
0.6125,0.0201692785295218
0.615,0.0271024919328768
0.6175,0.0349927119616177
0.62,0.0432722759318406
0.6225,0.0511233993181564
0.625,0.0576426537476763
0.6275,0.0621705736302701
0.63,0.0645926367486072
0.6325,0.0653399866622245
0.635,0.0650657724890685
0.6375,0.0643271941814575
0.64,0.063466898386565
0.6425,0.0626910950585703
0.645,0.0621274534597467
0.6475,0.0617934379907528
0.65,0.0616075683650363
0.6525,0.0615344267321613
0.655,0.061586632970853
0.6575,0.0617240748207221
0.66,0.061797402243686
0.6625,0.0616773663597977
0.665,0.0613983249308118
0.6675,0.0611434197524217
0.67,0.0611936665910186
0.6725,0.0617952817013858
0.675,0.0630303161401714
0.6775,0.0647579130435269
0.68,0.0667143922093598
0.6825,0.0686251588100465
0.685,0.0702410865518465
0.6875,0.0713834866633962
0.69,0.0719783547714998
0.6925,0.0721326695002331
0.695,0.0721093969696994
0.6975,0.0722026979877017
0.7,0.072662001966465
0.7025,0.073682386406126
0.705,0.0752711189244108
0.7075,0.0771843116651158
0.71,0.0789925779155138
0.7125,0.0802370658762779
0.715,0.0806349051606356
0.7175,0.0801829637632445
0.72,0.0791079158329971
0.7225,0.0776857903761997
0.725,0.0761880779752428
0.7275,0.0749122298782161
0.73,0.0741220642262073
0.7325,0.0738582710752743
0.735,0.0738315727785796
0.7375,0.0735785925215123
0.74,0.0728378106330788
0.7425,0.0716984911102985
0.745,0.0704897797503825
0.7475,0.0696500872549123
0.75,0.0694784517850924
0.7525,0.0699035073480375
0.755,0.0704878995312271
0.7575,0.0705493802575461
0.76,0.0694305879803107
0.7625,0.0666902550399165
0.765,0.0622124802720751
0.7675,0.0562401112888499
0.77,0.049324292383882
0.7725,0.0421755261844008
0.775,0.0355358283970997
0.7775,0.0300604026616803
0.78,0.0261629886122494
0.7825,0.0239254671663568
0.785,0.0231037465860963
0.7875,0.0232252843336668
0.79,0.023780274208518
0.7925,0.0243782217273601
0.795,0.0248447426728246
0.7975,0.0252389448432807
0.8,0.0258133957877102
0.8025,0.0269561323282065
0.805,0.029106036381392
0.8075,0.0326566220894105
0.81,0.037934121692776
0.8125,0.0450509342644796
0.815,0.0537559959608525
0.8175,0.0634097670639919
0.82,0.073028874407714
0.8225,0.0814593647156996
0.825,0.0877285451464608
0.8275,0.0913629500292254
0.83,0.0925027401002295
0.8325,0.0917310757095471
0.835,0.0897849664117525
0.8375,0.0872574218784661
0.84,0.0845198531515632
0.8425,0.0818491833012968
0.845,0.079450868104996
0.8475,0.0775116602388514
0.85,0.0761887924520138
0.8525,0.0754596072011394
0.855,0.0749955508288448
0.8575,0.074314934845961
0.86,0.0731266995339502
0.8625,0.0715455444038377
0.865,0.0700086518667761
0.8675,0.0690934109774843
0.87,0.0691550517029598
0.8725,0.0700764518136152
0.875,0.0712810061887085
0.8775,0.0719265646954976
0.88,0.0712474013617828
0.8825,0.0688009214795054
0.885,0.0644918720877539
0.8875,0.0585752274688703
