//DATASET,
//created,Wed, 25 Apr 2018 21:18:42 GMT

//TRACE,Waveform,Input 1 
//SampledBand
#Time,Power
#(ns),(µW)
0,122.893659845534
0.0025,74.182211555619
0.005,53.2596361375983
0.0075,46.3796957775528
0.01,44.7537490710455
0.0125,44.4782945965675
0.015,44.6934156292636
0.0175,44.6986259033564
0.02,44.6638908073654
0.0225,44.7255408402481
0.025,44.9962742119907
0.0275,47.0832456082987
0.03,57.3364710133887
0.0325,98.2697205791942
0.035,221.402252328948
0.0375,469.564377796661
0.04,740.785542785352
0.0425,896.592604358827
0.045,950.811390141579
0.0475,965.008468218644
0.05,967.915565661317
0.0525,968.357043737392
0.055,968.401366908967
0.0575,968.40459383436
0.06,968.404489696531
0.0625,968.399839216275
0.065,968.342351625313
0.0675,967.848071951174
0.07,964.758319769265
0.0725,951.132605964243
0.075,904.288964285017
0.0775,786.731031891723
0.08,604.839873104306
0.0825,444.159741205321
0.085,359.376629995749
0.0875,330.848281123757
0.09,323.529235568251
0.0925,322.485239582064
0.095,322.330717259984
0.0975,322.334636659845
0.1,322.509031177268
0.1025,322.661796275243
0.105,322.985544042327
0.1075,324.326705991446
0.11,332.992759110318
0.1125,367.877629225445
0.115,460.808402481379
0.1175,625.983586764596
0.12,802.895763518943
0.1225,911.636256637913
0.125,953.570543707554
0.1275,965.410030077598
0.13,967.970546148862
0.1325,968.363129667551
0.135,968.402121603525
0.1375,968.404603324247
0.14,968.404723173562
0.1425,968.404728779566
0.145,968.404730471341
0.1475,968.404730625676
0.15,968.404730626277
0.1525,968.404730627592
0.155,968.404730627016
0.1575,968.404730626672
0.16,968.404730625202
0.1625,968.40473062683
0.165,968.404730626037
0.1675,968.404730628069
0.17,968.404730644954
0.1725,968.404730382714
0.175,968.404733016996
0.1775,968.404717909275
0.18,968.404650652591
0.1825,968.403007672204
0.185,968.37368788418
0.1875,968.072918000177
0.19,966.036538371786
0.1925,955.827519832788
0.195,915.755033365522
0.1975,792.217608282926
0.2,543.632543757534
0.2025,274.113828607368
0.205,118.337587558447
0.2075,62.8353392205332
0.21,48.1615266062408
0.2125,45.2055817765898
0.215,44.6545727780091
0.2175,44.567101089744
0.22,44.4803315192426
0.2225,44.5572804398513
0.225,44.514596076322
0.2275,44.7299017681192
0.23,47.1124147991094
0.2325,57.9013567347351
0.235,94.9170455745334
0.2375,191.239805663813
