//DATASET,,
//created,Wed, 25 Apr 2018 21:12:33 GMT
,,
//TRACE,Waveform,Input 1 
//SampledBand,,
#Time,Electrical Signal,
#(ns),(a.u.),
0,0.000518364,
0.0025,0.000541526,
0.005,0.000559419,
0.0075,0.000586828,
0.01,0.000643716,
0.0125,0.000753922,
0.015,0.000932184,
0.0175,0.001182772,
0.02,0.001509181,
0.0225,0.001906751,
0.025,0.002371169,
0.0275,0.002894389,
0.03,0.003464826,
0.0325,0.004086299,
0.035,0.004781265,
0.0375,0.005588738,
0.04,0.006550322,
0.0425,0.007702906,
0.045,0.00911694,
0.0475,0.010859806,
0.05,0.012991693,
0.0525,0.015580667,
0.055,0.018730449,
0.0575,0.022593632,
0.06,0.027243083,
0.0625,0.032574964,
0.065,0.038407468,
0.0675,0.044592069,
0.07,0.051021281,
0.0725,0.057491914,
0.075,0.063564986,
0.0775,0.068645652,
0.08,0.072238548,
0.0825,0.074144275,
0.085,0.07440399,
0.0875,0.073267048,
0.09,0.071095398,
0.0925,0.068310233,
0.095,0.065359189,
0.0975,0.062755686,
0.1,0.061024084,
0.1025,0.06050168,
0.105,0.061162195,
0.1075,0.062583987,
0.11,0.064079088,
0.1125,0.065012709,
0.115,0.065058959,
0.1175,0.064267254,
0.12,0.062958415,
0.1225,0.061558947,
0.125,0.060465186,
0.1275,0.060041354,
0.13,0.060584023,
0.1325,0.062246626,
0.135,0.064894383,
0.1375,0.068100534,
0.14,0.071272362,
0.1425,0.073773686,
0.145,0.075087591,
0.1475,0.074908378,
0.15,0.073112075,
0.1525,0.069777227,
0.155,0.065206263,
0.1575,0.059808392,
0.16,0.05392906,
0.1625,0.047798866,
0.165,0.041654147,
0.1675,0.035767788,
0.17,0.030381884,
0.1725,0.025637458,
0.175,0.021541197,
0.1775,0.018026684,
0.18,0.015004534,
0.1825,0.012420954,
0.185,0.010292531,
0.1875,0.008646842,
0.19,0.00742798,
0.1925,0.006488214,
0.195,0.005672403,
0.1975,0.004895675,
0.2,0.004159397,
0.2025,0.003512215,
0.205,0.002988494,
0.2075,0.002579161,
0.21,0.002245629,
0.2125,0.001967419,
0.215,0.001788117,
0.2175,0.001812868,
0.22,0.002138851,
0.2225,0.002742629,
0.225,0.00348065,
0.2275,0.004186422,
0.23,0.004757001,
0.2325,0.005194914,
0.235,0.00556442,
0.2375,0.005954377,
0.24,0.006460431,
0.2425,0.007173842,
0.245,0.0082471,
0.2475,0.009963276,
0.25,0.012683388,
0.2525,0.016651461,
0.255,0.021850171,
0.2575,0.028060872,
0.26,0.035066269,
0.2625,0.042596727,
0.265,0.050155207,
0.2675,0.057042639,
0.27,0.062510717,
0.2725,0.066076659,
0.275,0.067560142,
0.2775,0.066897856,
0.28,0.064104585,
0.2825,0.059355094,
0.285,0.05303899,
0.2875,0.045766882,
0.29,0.038221961,
0.2925,0.031001047,
0.295,0.024536087,
0.2975,0.019062884,
0.3,0.014664738,
0.3025,0.011338633,
0.305,0.00902172,
0.3075,0.007570681,
0.31,0.006747929,
0.3125,0.006248714,
0.315,0.005803105,
0.3175,0.005269493,
0.32,0.004641847,
0.3225,0.003984305,
0.325,0.00336627,
0.3275,0.002828114,
0.33,0.002372995,
0.3325,0.001997866,
0.335,0.001746124,
0.3375,0.00170018,
0.34,0.00191315,
0.3425,0.002335684,
0.345,0.002840258,
0.3475,0.00333496,
0.35,0.003820152,
0.3525,0.004376094,
0.355,0.00509946,
0.3575,0.006002241,
0.36,0.007052205,
0.3625,0.008231735,
0.365,0.009602017,
0.3675,0.011361765,
0.37,0.01371534,
0.3725,0.016664122,
0.375,0.020040304,
0.3775,0.023720222,
0.38,0.027786581,
0.3825,0.032527816,
0.385,0.038240662,
0.3875,0.044940148,
0.39,0.052166516,
0.3925,0.059133027,
0.395,0.065086645,
0.3975,0.069497132,
0.4,0.072105053,
0.4025,0.072983951,
0.405,0.072458294,
0.4075,0.071052158,
0.41,0.069346952,
0.4125,0.067947974,
0.415,0.067387596,
0.4175,0.067973604,
0.42,0.069613526,
0.4225,0.071782541,
0.425,0.073674086,
0.4275,0.074420498,
0.43,0.073406907,
0.4325,0.070456673,
0.435,0.065805587,
0.4375,0.059991535,
0.44,0.053645784,
0.4425,0.047257692,
0.445,0.041124717,
0.4475,0.035394484,
0.45,0.030137501,
0.4525,0.025415482,
0.455,0.021269338,
0.4575,0.01772621,
0.46,0.014775441,
0.4625,0.01234927,
0.465,0.010353678,
0.4675,0.008708446,
0.47,0.007350689,
0.4725,0.006229896,
0.475,0.00529959,
0.4775,0.004505459,
0.48,0.003798577,
0.4825,0.003153454,
0.485,0.002566718,
0.4875,0.002047879,
0.49,0.001609173,
0.4925,0.001256968,
0.495,0.000989364,
0.4975,0.000803115,
0.5,0.000685432,
0.5025,0.000615805,
0.505,0.000571299,
0.5075,0.000530789,
0.51,0.000481227,
0.5125,0.000421269,
0.515,0.000358628,
0.5175,0.00030683,
0.52,0.000273231,
0.5225,0.000255358,
0.525,0.000243819,
0.5275,0.000230005,
0.53,0.000208854,
0.5325,0.000181185,
0.535,0.000152491,
0.5375,0.000127516,
0.54,0.000107879,
0.5425,9.31E-05,
0.545,8.36E-05,
0.5475,8.12E-05,
0.55,8.50E-05,
0.5525,9.13E-05,
0.555,9.80E-05,
0.5575,0.000106905,
0.56,0.000117868,
0.5625,0.000127687,
0.565,0.000133169,
0.5675,0.000133531,
0.57,0.000128991,
0.5725,0.000119847,
0.575,0.000108897,
0.5775,0.000101587,
0.58,9.90E-05,
0.5825,9.72E-05,
0.585,9.19E-05,
0.5875,8.24E-05,
0.59,7.36E-05,
0.5925,7.11E-05,
0.595,7.61E-05,
0.5975,8.59E-05,
0.6,9.45E-05,
0.6025,9.95E-05,
0.605,0.000103564,
0.6075,0.000109979,
0.61,0.00011873,
0.6125,0.000127175,
0.615,0.000131355,
0.6175,0.000130328,
0.62,0.000129637,
0.6225,0.000139966,
0.625,0.00017049,
0.6275,0.000228258,
0.63,0.000313914,
0.6325,0.000414092,
0.635,0.000507105,
0.6375,0.000572198,
0.64,0.000599201,
0.6425,0.000591631,
0.645,0.000562318,
0.6475,0.000532318,
0.65,0.000531317,
0.6525,0.000595459,
0.655,0.000760386,
0.6575,0.001068668,
0.66,0.001555378,
0.6625,0.002203666,
0.665,0.002949872,
0.6675,0.003719047,
0.67,0.004434313,
0.6725,0.005041178,
0.675,0.005527784,
0.6775,0.005959842,
0.68,0.006440012,
0.6825,0.007120398,
0.685,0.008220561,
0.6875,0.009997871,
0.69,0.012718145,
0.6925,0.01655636,
0.695,0.021543996,
0.6975,0.027608879,
0.7,0.03459734,
0.7025,0.042178093,
0.705,0.049782431,
0.7075,0.056663222,
0.71,0.062108867,
0.7125,0.065663179,
0.715,0.067126465,
0.7175,0.066437536,
0.72,0.063626928,
0.7225,0.058856861,
0.725,0.052523638,
0.7275,0.045247387,
0.73,0.037723612,
0.7325,0.030553879,
0.735,0.024155638,
0.7375,0.018751994,
0.74,0.014410768,
0.7425,0.011119283,
0.745,0.008818867,
0.7475,0.007379512,
0.75,0.006565947,
0.7525,0.006076211,
0.755,0.005645082,
0.7575,0.005131501,
0.76,0.00452021,
0.7625,0.003867935,
0.765,0.00324653,
0.7675,0.00270451,
0.77,0.002250696,
0.7725,0.001884102,
0.775,0.001646969,
0.7775,0.001629581,
0.78,0.001891141,
0.7825,0.002392029,
0.785,0.002996903,
0.7875,0.003575487,
0.79,0.004084769,
0.7925,0.004580094,
0.795,0.005171332,
0.7975,0.005940513,
0.8,0.006909391,
0.8025,0.008049052,
0.805,0.009376626,
0.8075,0.011031479,
0.81,0.013211098,
0.8125,0.016017534,
0.815,0.019433356,
0.8175,0.023412783,
0.82,0.027961974,
0.8225,0.033108771,
0.825,0.038834889,
0.8275,0.045038372,
0.83,0.051437847,
0.8325,0.05766453,
0.835,0.063404036,
0.8375,0.068355349,
0.84,0.072148524,
0.8425,0.074462581,
0.845,0.075123156,
0.8475,0.074191349,
0.85,0.071986457,
0.8525,0.069034906,
0.855,0.06599868,
0.8575,0.063545865,
0.86,0.06210624,
0.8625,0.061725344,
0.865,0.062141185,
0.8675,0.062887781,
0.87,0.06350434,
0.8725,0.063733357,
0.875,0.063572742,
0.8775,0.063210804,
0.88,0.062878557,
0.8825,0.062738644,
0.885,0.06275756,
0.8875,0.06276724,
0.89,0.062672293,
0.8925,0.062576219,
0.895,0.062635312,
0.8975,0.062877287,
0.9,0.063194312,
0.9025,0.063427043,
0.905,0.063532733,
0.9075,0.063557841,
0.91,0.063520389,
0.9125,0.063408299,
0.915,0.063199569,
0.9175,0.06298088,
0.92,0.062850778,
0.9225,0.062812602,
0.925,0.062861226,
0.9275,0.06299642,
0.93,0.0631569,
0.9325,0.063260004,
0.935,0.063279472,
0.9375,0.063268739,
0.94,0.063281757,
0.9425,0.063295261,
0.945,0.063243786,
0.9475,0.063135846,
0.95,0.063058842,
0.9525,0.063091664,
0.955,0.063187763,
0.9575,0.063247397,
0.96,0.063197369,
0.9625,0.063023225,
0.965,0.062859089,
0.9675,0.06287519,
0.97,0.063100639,
0.9725,0.063395674,
0.975,0.063565326,
0.9775,0.063494258,
0.98,0.06327824,
0.9825,0.063123494,
0.985,0.063227308,
0.9875,0.063668167,
0.99,0.064289321,
0.9925,0.064793439,
0.995,0.064900799,
0.9975,0.064439704,
1,0.063439038,
1.0025,0.062187019,
1.005,0.06111938,
1.0075,0.060704199,
1.01,0.061325271,
1.0125,0.063121467,
1.015,0.065862304,
1.0175,0.069073544,
1.02,0.07219122,
1.0225,0.074620668,
1.025,0.075873978,
1.0275,0.075653974,
1.03,0.073882858,
1.0325,0.070646778,
1.035,0.066154545,
1.0375,0.060706402,
1.04,0.054643301,
1.0425,0.048296569,
1.045,0.041979585,
1.0475,0.035962647,
1.05,0.030439782,
1.0525,0.025516812,
1.055,0.021239791,
1.0575,0.017610667,
1.06,0.014603809,
1.0625,0.012158335,
1.065,0.010174655,
1.0675,0.008557257,
1.07,0.007247795,
1.0725,0.006194066,
1.075,0.005325447,
1.0775,0.004570393,
1.08,0.003895458,
1.0825,0.003289332,
1.085,0.002739275,
1.0875,0.00223845,
1.09,0.001797701,
1.0925,0.001433701,
1.095,0.001154206,
1.0975,0.000946185,
1.1,0.000795725,
1.1025,0.000703282,
1.105,0.000667664,
1.1075,0.00066746,
1.11,0.000679798,
1.1125,0.000703567,
1.115,0.000741576,
1.1175,0.000778687,
1.12,0.000792545,
1.1225,0.000780634,
1.125,0.000755316,
1.1275,0.000723941,
1.13,0.000700959,
1.1325,0.000726156,
1.135,0.000870849,
1.1375,0.001186234,
1.14,0.001657952,
1.1425,0.002245113,
1.145,0.002908163,
1.1475,0.003606276,
1.15,0.004268068,
1.1525,0.004821767,
1.155,0.005252957,
1.1575,0.005612468,
1.16,0.005999156,
1.1625,0.006591296,
1.165,0.007656553,
1.1675,0.009485854,
1.17,0.012332874,
1.1725,0.016338793,
1.175,0.021525328,
1.1775,0.027849507,
1.18,0.03511425,
1.1825,0.042874962,
1.185,0.050525626,
1.1875,0.05740626,
1.19,0.062894188,
1.1925,0.066479305,
1.195,0.06783237,
1.1975,0.066862173,
1.2,0.063703075,
1.2025,0.058699242,
1.205,0.052330704,
1.2075,0.045160133,
1.21,0.037759737,
1.2125,0.030646983,
1.215,0.024238678,
1.2175,0.018816611,
1.22,0.014518332,
1.2225,0.011336223,
1.225,0.009145102,
1.2275,0.007736549,
1.23,0.006863255,
1.2325,0.006287171,
1.235,0.005814354,
1.2375,0.00531647,
1.24,0.004730818,
1.2425,0.004059307,
1.245,0.003341891,
1.2475,0.002632188,
1.25,0.001988004,
1.2525,0.00145702,
1.255,0.001063029,
1.2575,0.000811557,
1.26,0.000685015,
1.2625,0.000644006,
1.265,0.000643045,
1.2675,0.000644264,
1.27,0.000623372,
1.2725,0.000574838,
1.275,0.000507534,
1.2775,0.000433619,
1.28,0.000362744,
1.2825,0.000305472,
1.285,0.000267676,
1.2875,0.000246495,
1.29,0.000239778,
1.2925,0.000245891,
1.295,0.000252554,
1.2975,0.00025105,
1.3,0.000242144,
1.3025,0.000233024,
1.305,0.000232885,
1.3075,0.000254145,
1.31,0.000306264,
1.3125,0.000381164,
1.315,0.000461133,
1.3175,0.000527479,
1.32,0.000567037,
1.3225,0.000584431,
1.325,0.000599319,
1.3275,0.000633647,
1.33,0.000709038,
1.3325,0.000842763,
1.335,0.001041665,
1.3375,0.001308164,
1.34,0.001638896,
1.3425,0.002022724,
1.345,0.002451519,
1.3475,0.002920846,
1.35,0.003449085,
