//DATASET,,
//created,Wed, 25 Apr 2018 21:12:06 GMT
,,
//TRACE,Waveform,Input 1 
//SampledBand,,
#Time,Power,
#(ns),(mW),
0,0.001002361,
0.0025,0.001164432,
0.005,0.001011594,
0.0075,0.001011452,
0.01,0.001173145,
0.0125,0.001083849,
0.015,0.001009535,
0.0175,0.001003122,
0.02,0.001149543,
0.0225,0.001015636,
0.025,0.001001057,
0.0275,0.001010137,
0.03,0.00185767,
0.0325,0.006383916,
0.035,0.07111833,
0.0375,0.318235963,
0.04,0.698994603,
0.0425,0.934946259,
0.045,0.993707839,
0.0475,0.998966561,
0.05,0.998998978,
0.0525,0.998953639,
0.055,0.998997709,
0.0575,0.998997149,
0.06,0.998979568,
0.0625,0.99887495,
0.065,0.998994337,
0.0675,0.998968041,
0.07,0.998980418,
0.0725,0.998997499,
0.075,0.998994486,
0.0775,0.998995858,
0.08,0.998940519,
0.0825,0.998990118,
0.085,0.998998971,
0.0875,0.998990254,
0.09,0.998993576,
0.0925,0.998895894,
0.095,0.998902258,
0.0975,0.998945688,
0.1,0.998829785,
0.1025,0.998851501,
0.105,0.998953982,
0.1075,0.998998853,
0.11,0.998877886,
0.1125,0.998974206,
0.115,0.998965851,
0.1175,0.998989663,
0.12,0.9989546,
0.1225,0.998998987,
0.125,0.99897572,
0.1275,0.998884882,
0.13,0.998942421,
0.1325,0.998932736,
0.135,0.998985362,
0.1375,0.998998826,
0.14,0.998998253,
0.1425,0.9989927,
0.145,0.998994267,
0.1475,0.998937314,
0.15,0.998544712,
0.1525,0.991147244,
0.155,0.937863058,
0.1575,0.705040982,
0.16,0.31256452,
0.1625,0.066688489,
0.165,0.00891558,
0.1675,0.001675328,
0.17,0.001002151,
0.1725,0.001001996,
0.175,0.001016429,
0.1775,0.001058104,
0.18,0.001004298,
0.1825,0.001020429,
0.185,0.001090285,
0.1875,0.001323796,
0.19,0.001008966,
0.1925,0.001149704,
0.195,0.001015563,
0.1975,0.001001042,
0.2,0.001063693,
0.2025,0.001125892,
0.205,0.001008926,
0.2075,0.00102666,
0.21,0.001011751,
0.2125,0.001002641,
0.215,0.001031676,
0.2175,0.001051035,
0.22,0.001015118,
0.2225,0.001091153,
0.225,0.001034268,
0.2275,0.001102778,
0.23,0.001471636,
0.2325,0.009436189,
0.235,0.063816552,
0.2375,0.312036035,
0.24,0.700060464,
0.2425,0.937396416,
0.245,0.991966578,
0.2475,0.9987187,
0.25,0.998900695,
0.2525,0.998998716,
0.255,0.998932556,
0.2575,0.998927971,
0.26,0.998967511,
0.2625,0.998963192,
0.265,0.998998876,
0.2675,0.998998934,
0.27,0.998783478,
0.2725,0.990850317,
0.275,0.934272968,
0.2775,0.709898561,
0.28,0.310540287,
0.2825,0.060650018,
0.285,0.006978298,
0.2875,0.001564287,
0.29,0.001007525,
0.2925,0.001027433,
0.295,0.001016225,
0.2975,0.001165371,
0.3,0.001071545,
0.3025,0.001077839,
0.305,0.00105694,
0.3075,0.001095073,
0.31,0.001047345,
0.3125,0.001029989,
0.315,0.001025026,
0.3175,0.001015119,
0.32,0.001318745,
0.3225,0.001019182,
0.325,0.001002692,
0.3275,0.001085703,
0.33,0.001092752,
0.3325,0.001013332,
0.335,0.001034849,
0.3375,0.001015586,
0.34,0.001078718,
0.3425,0.001136438,
0.345,0.001020398,
0.3475,0.001051117,
0.35,0.001586875,
0.3525,0.008420915,
0.355,0.072465179,
0.3575,0.302596008,
0.36,0.678601799,
0.3625,0.937582153,
0.365,0.993067662,
0.3675,0.998632241,
0.37,0.998969626,
0.3725,0.998957449,
0.375,0.998969624,
0.3775,0.998998986,
0.38,0.998845048,
0.3825,0.998998093,
0.385,0.998959373,
0.3875,0.998824633,
0.39,0.998993486,
0.3925,0.998939553,
0.395,0.998996738,
0.3975,0.998982774,
0.4,0.998991431,
0.4025,0.9989986,
0.405,0.998994847,
0.4075,0.99897474,
0.41,0.998992808,
0.4125,0.99898754,
0.415,0.998903577,
0.4175,0.998972273,
0.42,0.998997103,
0.4225,0.998973494,
0.425,0.998945506,
0.4275,0.998902053,
0.43,0.99860443,
0.4325,0.992163351,
0.435,0.933351465,
0.4375,0.689688591,
0.44,0.302384709,
0.4425,0.06621688,
0.445,0.007985686,
0.4475,0.00102304,
0.45,0.001197617,
0.4525,0.001043573,
0.455,0.001041988,
0.4575,0.001176824,
0.46,0.001148303,
0.4625,0.00115143,
0.465,0.001003167,
0.4675,0.001029204,
0.47,0.001107758,
0.4725,0.001004875,
0.475,0.001026344,
0.4775,0.001001678,
0.48,0.0010021,
0.4825,0.00111441,
0.485,0.001009548,
0.4875,0.001020755,
0.49,0.001156845,
0.4925,0.001013804,
0.495,0.001004167,
0.4975,0.00100168,
0.5,0.00105486,
0.5025,0.001010683,
0.505,0.001061623,
0.5075,0.001104654,
0.51,0.001021657,
0.5125,0.00102832,
0.515,0.001013176,
0.5175,0.001002122,
0.52,0.001050347,
0.5225,0.001002015,
0.525,0.001026033,
0.5275,0.001058771,
0.53,0.001026937,
0.5325,0.001002556,
0.535,0.001075421,
0.5375,0.001062904,
0.54,0.001074276,
0.5425,0.001035563,
0.545,0.001009863,
0.5475,0.001181909,
0.55,0.001001128,
0.5525,0.00107817,
0.555,0.001017674,
0.5575,0.001003556,
0.56,0.00101443,
0.5625,0.0010061,
0.565,0.001020382,
0.5675,0.001074377,
0.57,0.001001272,
0.5725,0.001152309,
0.575,0.001136943,
0.5775,0.001005052,
0.58,0.001050243,
0.5825,0.001057289,
0.585,0.001093785,
0.5875,0.001001049,
0.59,0.001154766,
0.5925,0.001040939,
0.595,0.001008798,
0.5975,0.001002783,
0.6,0.001108046,
0.6025,0.001032087,
0.605,0.001024013,
0.6075,0.001002395,
0.61,0.001167773,
0.6125,0.001022358,
0.615,0.001057052,
0.6175,0.001001887,
0.62,0.001001235,
0.6225,0.00100531,
0.625,0.001048139,
0.6275,0.001033607,
0.63,0.001042689,
0.6325,0.001001479,
0.635,0.001001135,
0.6375,0.001036994,
0.64,0.001001956,
0.6425,0.001004434,
0.645,0.001169074,
0.6475,0.001223561,
0.65,0.001002555,
0.6525,0.00100997,
0.655,0.001178671,
0.6575,0.001076249,
0.66,0.001020519,
